Service Price Name	Healthcare Service	Price Type	Currency	Service Charge	Group Name (If Applicable)
SV PHOTO BLUE X (SPH -4.25 -+ /- 4.75) - Foreign Credit	SV PHOTO BLUE X (SPH -4.25 -+ /- 4.75)	Fixed Price	GHS	1830	Foreign credit
SV POLARISED - Local Cash	SV POLARISED	Fixed Price	GHS	1438	Local cash
SV POLARISED - Local Credit	SV POLARISED	Fixed Price	GHS	1524	Local credit
SV POLARISED - Foreign Cash	SV POLARISED	Fixed Price	GHS	1726	Foreign cash
SV POLARISED - Foreign Credit	SV POLARISED	Fixed Price	GHS	1830	Foreign credit
SV POLARISED WITH PHOTO AR - Local Cash	SV POLARISED WITH PHOTO AR	Fixed Price	GHS	2438	Local cash
SV POLARISED WITH PHOTO AR - Local Credit	SV POLARISED WITH PHOTO AR	Fixed Price	GHS	2584	Local credit
SV POLARISED WITH PHOTO AR - Foreign Cash	SV POLARISED WITH PHOTO AR	Fixed Price	GHS	2926	Foreign cash
SV POLARISED WITH PHOTO AR - Foreign Credit	SV POLARISED WITH PHOTO AR	Fixed Price	GHS	3102	Foreign credit
SV POLY PHOTO HI INDEX (+/- 4.50 - +/- 6.00) - Local Cash	SV POLY PHOTO HI INDEX (+/- 4.50 - +/- 6.00)	Fixed Price	GHS	7313	Local cash
SV POLY PHOTO HI INDEX (+/- 4.50 - +/- 6.00) - Local Credit	SV POLY PHOTO HI INDEX (+/- 4.50 - +/- 6.00)	Fixed Price	GHS	7752	Local credit
SV POLY PHOTO HI INDEX (+/- 4.50 - +/- 6.00) - Foreign Cash	SV POLY PHOTO HI INDEX (+/- 4.50 - +/- 6.00)	Fixed Price	GHS	8776	Foreign cash
SV POLY PHOTO HI INDEX (+/- 4.50 - +/- 6.00) - Foreign Credit	SV POLY PHOTO HI INDEX (+/- 4.50 - +/- 6.00)	Fixed Price	GHS	9303	Foreign credit
SV POLY TRANSITION AR - Local Cash	SV POLY TRANSITION AR	Fixed Price	GHS	4750	Local cash
SV POLY TRANSITION AR - Local Credit	SV POLY TRANSITION AR	Fixed Price	GHS	5035	Local credit
SV POLY TRANSITION AR - Foreign Cash	SV POLY TRANSITION AR	Fixed Price	GHS	5700	Foreign cash
SV POLY TRANSITION AR - Foreign Credit	SV POLY TRANSITION AR	Fixed Price	GHS	6042	Foreign credit
SV POLY TRANSITION BLUE X - Local Cash	SV POLY TRANSITION BLUE X	Fixed Price	GHS	6063	Local cash
SV POLY TRANSITION BLUE X - Local Credit	SV POLY TRANSITION BLUE X	Fixed Price	GHS	6427	Local credit
SV POLY TRANSITION BLUE X - Foreign Cash	SV POLY TRANSITION BLUE X	Fixed Price	GHS	7276	Foreign cash
SV POLY TRANSITION BLUE X - Foreign Credit	SV POLY TRANSITION BLUE X	Fixed Price	GHS	7713	Foreign credit
SV POLYCARBONATE PHOTO AR - Local Cash	SV POLYCARBONATE PHOTO AR	Fixed Price	GHS	3438	Local cash
SV POLYCARBONATE PHOTO AR - Local Credit	SV POLYCARBONATE PHOTO AR	Fixed Price	GHS	3644	Local credit
SV POLYCARBONATE PHOTO AR - Foreign Cash	SV POLYCARBONATE PHOTO AR	Fixed Price	GHS	4126	Foreign cash
SV POLYCARBONATE PHOTO AR - Foreign Credit	SV POLYCARBONATE PHOTO AR	Fixed Price	GHS	4374	Foreign credit
SV POLYCARBONATE PHOTO BLUE X - Local Cash	SV POLYCARBONATE PHOTO BLUE X	Fixed Price	GHS	4313	Local cash
SV POLYCARBONATE PHOTO BLUE X - Local Credit	SV POLYCARBONATE PHOTO BLUE X	Fixed Price	GHS	4572	Local credit
SV POLYCARBONATE PHOTO BLUE X - Foreign Cash	SV POLYCARBONATE PHOTO BLUE X	Fixed Price	GHS	5176	Foreign cash
SV POLYCARBONATE PHOTO BLUE X - Foreign Credit	SV POLYCARBONATE PHOTO BLUE X	Fixed Price	GHS	5487	Foreign credit
SV POLYCARBONATE WHITE - Local Cash	SV POLYCARBONATE WHITE	Fixed Price	GHS	1500	Local cash
SV POLYCARBONATE WHITE - Local Credit	SV POLYCARBONATE WHITE	Fixed Price	GHS	1590	Local credit
SV POLYCARBONATE WHITE - Foreign Cash	SV POLYCARBONATE WHITE	Fixed Price	GHS	1800	Foreign cash
SV POLYCARBONATE WHITE - Foreign Credit	SV POLYCARBONATE WHITE	Fixed Price	GHS	1908	Foreign credit
SV POLYCARBONATE WHITE AR - Local Cash	SV POLYCARBONATE WHITE AR	Fixed Price	GHS	2063	Local cash
SV POLYCARBONATE WHITE AR - Local Credit	SV POLYCARBONATE WHITE AR	Fixed Price	GHS	2187	Local credit
SV POLYCARBONATE WHITE AR - Foreign Cash	SV POLYCARBONATE WHITE AR	Fixed Price	GHS	2476	Foreign cash
SV POLYCARBONATE WHITE AR - Foreign Credit	SV POLYCARBONATE WHITE AR	Fixed Price	GHS	2625	Foreign credit
SV POLYCARBONATE WHITE BLUE X - Local Cash	SV POLYCARBONATE WHITE BLUE X	Fixed Price	GHS	2938	Local cash
SV POLYCARBONATE WHITE BLUE X - Local Credit	SV POLYCARBONATE WHITE BLUE X	Fixed Price	GHS	3114	Local credit
SV POLYCARBONATE WHITE BLUE X - Foreign Cash	SV POLYCARBONATE WHITE BLUE X	Fixed Price	GHS	3526	Foreign cash
SV POLYCARBONATE WHITE BLUE X - Foreign Credit	SV POLYCARBONATE WHITE BLUE X	Fixed Price	GHS	3738	Foreign credit
SV TINT - Local Cash	SV TINT	Fixed Price	GHS	625	Local cash
SV TINT - Local Credit	SV TINT	Fixed Price	GHS	663	Local credit
SV TINT - Foreign Cash	SV TINT	Fixed Price	GHS	750	Foreign cash
SV TINT - Foreign Credit	SV TINT	Fixed Price	GHS	795	Foreign credit
SV TRANSITION AR - Local Cash	SV TRANSITION AR	Fixed Price	GHS	2438	Local cash
SV TRANSITION AR - Local Credit	SV TRANSITION AR	Fixed Price	GHS	2584	Local credit
SV TRANSITION AR - Foreign Cash	SV TRANSITION AR	Fixed Price	GHS	2926	Foreign cash
SV TRANSITION AR - Foreign Credit	SV TRANSITION AR	Fixed Price	GHS	3102	Foreign credit
SV TRANSITION AR (-+7.00 -9.00) NORMAL - Local Cash	SV TRANSITION AR (-+7.00 -9.00) NORMAL	Fixed Price	GHS	7475	Local cash
SV TRANSITION AR (-+7.00 -9.00) NORMAL - Local Credit	SV TRANSITION AR (-+7.00 -9.00) NORMAL	Fixed Price	GHS	7924	Local credit
SV TRANSITION AR (-+7.00 -9.00) NORMAL - Foreign Cash	SV TRANSITION AR (-+7.00 -9.00) NORMAL	Fixed Price	GHS	8970	Foreign cash
SV TRANSITION AR (-+7.00 -9.00) NORMAL - Foreign Credit	SV TRANSITION AR (-+7.00 -9.00) NORMAL	Fixed Price	GHS	9508	Foreign credit
SV TRANSITION AR 1.6 INDEX (SPH-5.00- -6.00) - Local Cash	SV TRANSITION AR 1.6 INDEX (SPH-5.00- -6.00)	Fixed Price	GHS	6188	Local cash
SV TRANSITION AR 1.6 INDEX (SPH-5.00- -6.00) - Local Credit	SV TRANSITION AR 1.6 INDEX (SPH-5.00- -6.00)	Fixed Price	GHS	6559	Local credit
SV TRANSITION AR 1.6 INDEX (SPH-5.00- -6.00) - Foreign Cash	SV TRANSITION AR 1.6 INDEX (SPH-5.00- -6.00)	Fixed Price	GHS	7426	Foreign cash
SV TRANSITION AR 1.6 INDEX (SPH-5.00- -6.00) - Foreign Credit	SV TRANSITION AR 1.6 INDEX (SPH-5.00- -6.00)	Fixed Price	GHS	7872	Foreign credit
SV TRANSITION AR 1.67 INEX (-+5.50 - +-6.00) - Local Cash	SV TRANSITION AR 1.67 INEX (-+5.50 - +-6.00)	Fixed Price	GHS	4963	Local cash
SV TRANSITION AR 1.67 INEX (-+5.50 - +-6.00) - Local Credit	SV TRANSITION AR 1.67 INEX (-+5.50 - +-6.00)	Fixed Price	GHS	5261	Local credit
SV TRANSITION AR 1.67 INEX (-+5.50 - +-6.00) - Foreign Cash	SV TRANSITION AR 1.67 INEX (-+5.50 - +-6.00)	Fixed Price	GHS	5956	Foreign cash
SV TRANSITION AR 1.67 INEX (-+5.50 - +-6.00) - Foreign Credit	SV TRANSITION AR 1.67 INEX (-+5.50 - +-6.00)	Fixed Price	GHS	6313	Foreign credit
SV TRANSITION BLUE X (-4.00) - Local Cash	SV TRANSITION BLUE X (-4.00)	Fixed Price	GHS	6063	Local cash
SV TRANSITION BLUE X (-4.00) - Local Credit	SV TRANSITION BLUE X (-4.00)	Fixed Price	GHS	6427	Local credit
SV TRANSITION BLUE X (-4.00) - Foreign Cash	SV TRANSITION BLUE X (-4.00)	Fixed Price	GHS	7276	Foreign cash
SV TRANSITION BLUE X (-4.00) - Foreign Credit	SV TRANSITION BLUE X (-4.00)	Fixed Price	GHS	7713	Foreign credit
SV WHITE (SPH+/6.00- +/-7.00) hi index 1.67 - Local Cash	SV WHITE (SPH+/6.00- +/-7.00) hi index 1.67	Fixed Price	GHS	2475	Local cash
SV WHITE (SPH+/6.00- +/-7.00) hi index 1.67 - Local Credit	SV WHITE (SPH+/6.00- +/-7.00) hi index 1.67	Fixed Price	GHS	2624	Local credit
SV WHITE (SPH+/6.00- +/-7.00) hi index 1.67 - Foreign Cash	SV WHITE (SPH+/6.00- +/-7.00) hi index 1.67	Fixed Price	GHS	2970	Foreign cash
SV WHITE (SPH+/6.00- +/-7.00) hi index 1.67 - Foreign Credit	SV WHITE (SPH+/6.00- +/-7.00) hi index 1.67	Fixed Price	GHS	3148	Foreign credit
SV WHITE (SPH+/6.00- +/-7.00) hi index 1.6 - Local Cash	SV WHITE (SPH+/6.00- +/-7.00) hi index 1.6	Fixed Price	GHS	2238	Local cash
SV WHITE (SPH+/6.00- +/-7.00) hi index 1.6 - Local Credit	SV WHITE (SPH+/6.00- +/-7.00) hi index 1.6	Fixed Price	GHS	2372	Local credit
SV WHITE (SPH+/6.00- +/-7.00) hi index 1.6 - Foreign Cash	SV WHITE (SPH+/6.00- +/-7.00) hi index 1.6	Fixed Price	GHS	2686	Foreign cash
SV WHITE (SPH+/6.00- +/-7.00) hi index 1.6 - Foreign Credit	SV WHITE (SPH+/6.00- +/-7.00) hi index 1.6	Fixed Price	GHS	2847	Foreign credit
SV WHITE (SPH PLANO –SPH -/+ 4.25) - Local Cash	SV WHITE (SPH PLANO –SPH -/+ 4.25)	Fixed Price	GHS	250	Local cash
SV WHITE (SPH PLANO –SPH -/+ 4.25) - Local Credit	SV WHITE (SPH PLANO –SPH -/+ 4.25)	Fixed Price	GHS	265	Local credit
SV WHITE (SPH PLANO –SPH -/+ 4.25) - Foreign Cash	SV WHITE (SPH PLANO –SPH -/+ 4.25)	Fixed Price	GHS	300	Foreign cash
SV WHITE (SPH PLANO –SPH -/+ 4.25) - Foreign Credit	SV WHITE (SPH PLANO –SPH -/+ 4.25)	Fixed Price	GHS	318	Foreign credit
SV WHITE (SPH +/-4.75 - +/-5.75) - Local Cash	SV WHITE (SPH +/-4.75 - +/-5.75)	Fixed Price	GHS	1000	Local cash
SV WHITE (SPH +/-4.75 - +/-5.75) - Local Credit	SV WHITE (SPH +/-4.75 - +/-5.75)	Fixed Price	GHS	1060	Local credit
SV WHITE (SPH +/-4.75 - +/-5.75) - Foreign Cash	SV WHITE (SPH +/-4.75 - +/-5.75)	Fixed Price	GHS	1200	Foreign cash
SV WHITE (SPH +/-4.75 - +/-5.75) - Foreign Credit	SV WHITE (SPH +/-4.75 - +/-5.75)	Fixed Price	GHS	1272	Foreign credit
SV WHITE (SPH +/- 6.00- +/- 7.00) - Local Cash	SV WHITE (SPH +/- 6.00- +/- 7.00)	Fixed Price	GHS	1500	Local cash
SV WHITE (SPH +/- 6.00- +/- 7.00) - Local Credit	SV WHITE (SPH +/- 6.00- +/- 7.00)	Fixed Price	GHS	1590	Local credit
SV WHITE (SPH +/- 6.00- +/- 7.00) - Foreign Cash	SV WHITE (SPH +/- 6.00- +/- 7.00)	Fixed Price	GHS	1800	Foreign cash
SV WHITE (SPH +/- 6.00- +/- 7.00) - Foreign Credit	SV WHITE (SPH +/- 6.00- +/- 7.00)	Fixed Price	GHS	1908	Foreign credit
SV WHITE (CYL-2.25 –CYL-3.25) - Local Cash	SV WHITE (CYL-2.25 –CYL-3.25)	Fixed Price	GHS	750	Local cash
SV WHITE (CYL-2.25 –CYL-3.25) - Local Credit	SV WHITE (CYL-2.25 –CYL-3.25)	Fixed Price	GHS	795	Local credit
SV WHITE (CYL-2.25 –CYL-3.25) - Foreign Cash	SV WHITE (CYL-2.25 –CYL-3.25)	Fixed Price	GHS	900	Foreign cash
SV WHITE (CYL-2.25 –CYL-3.25) - Foreign Credit	SV WHITE (CYL-2.25 –CYL-3.25)	Fixed Price	GHS	954	Foreign credit
SV WHITE (CYL -7.0/2.25 * -6.0/2.25) - Local Cash	SV WHITE (CYL -7.0/2.25 * -6.0/2.25)	Fixed Price	GHS	2875	Local cash
SV WHITE (CYL -7.0/2.25 * -6.0/2.25) - Local Credit	SV WHITE (CYL -7.0/2.25 * -6.0/2.25)	Fixed Price	GHS	3048	Local credit
SV WHITE (CYL -7.0/2.25 * -6.0/2.25) - Foreign Cash	SV WHITE (CYL -7.0/2.25 * -6.0/2.25)	Fixed Price	GHS	3450	Foreign cash
SV WHITE (CYL -7.0/2.25 * -6.0/2.25) - Foreign Credit	SV WHITE (CYL -7.0/2.25 * -6.0/2.25)	Fixed Price	GHS	3657	Foreign credit
SV WHITE (CYL -7.0 -15.0) - Local Cash	SV WHITE (CYL -7.0 -15.0)	Fixed Price	GHS	8125	Local cash
SV WHITE (CYL -7.0 -15.0) - Local Credit	SV WHITE (CYL -7.0 -15.0)	Fixed Price	GHS	8613	Local credit
SV WHITE (CYL -7.0 -15.0) - Foreign Cash	SV WHITE (CYL -7.0 -15.0)	Fixed Price	GHS	9750	Foreign cash
SV WHITE (CYL -7.0 -15.0) - Foreign Credit	SV WHITE (CYL -7.0 -15.0)	Fixed Price	GHS	10335	Foreign credit
SV WHITE - Local Cash	SV WHITE	Fixed Price	GHS	8500	Local cash
SV WHITE - Local Credit	SV WHITE	Fixed Price	GHS	9010	Local credit
SV WHITE - Foreign Cash	SV WHITE	Fixed Price	GHS	10200	Foreign cash
SV WHITE - Foreign Credit	SV WHITE	Fixed Price	GHS	10812	Foreign credit
SV TRIVEX TRANSITION BLUEX - Local Cash	SV TRIVEX TRANSITION BLUEX	Fixed Price	GHS	6225	Local cash
SV TRIVEX TRANSITION BLUEX - Local Credit	SV TRIVEX TRANSITION BLUEX	Fixed Price	GHS	6599	Local credit
SV TRIVEX TRANSITION BLUEX - Foreign Cash	SV TRIVEX TRANSITION BLUEX	Fixed Price	GHS	7470	Foreign cash
SV TRIVEX TRANSITION BLUEX - Foreign Credit	SV TRIVEX TRANSITION BLUEX	Fixed Price	GHS	7918	Foreign credit
SV TRIVEX TRANSITION AR - Local Cash	SV TRIVEX TRANSITION AR	Fixed Price	GHS	5450	Local cash
SV TRIVEX TRANSITION AR - Local Credit	SV TRIVEX TRANSITION AR	Fixed Price	GHS	5777	Local credit
SV TRIVEX TRANSITION AR - Foreign Cash	SV TRIVEX TRANSITION AR	Fixed Price	GHS	6540	Foreign cash
SV TRIVEX TRANSITION AR - Foreign Credit	SV TRIVEX TRANSITION AR	Fixed Price	GHS	6932	Foreign credit
SV TRANSITION BLUE X 1.67 BLUE X (-7.00 -9.00) - Local Cash	SV TRANSITION BLUE X 1.67 BLUE X (-7.00 -9.00)	Fixed Price	GHS	8600	Local cash
SV TRANSITION BLUE X 1.67 BLUE X (-7.00 -9.00) - Local Credit	SV TRANSITION BLUE X 1.67 BLUE X (-7.00 -9.00)	Fixed Price	GHS	9116	Local credit
SV TRANSITION BLUE X 1.67 BLUE X (-7.00 -9.00) - Foreign Cash	SV TRANSITION BLUE X 1.67 BLUE X (-7.00 -9.00)	Fixed Price	GHS	10320	Foreign cash
SV TRANSITION BLUE X 1.67 BLUE X (-7.00 -9.00) - Foreign Credit	SV TRANSITION BLUE X 1.67 BLUE X (-7.00 -9.00)	Fixed Price	GHS	10939	Foreign credit
Cleaning Kit (Frames & Accessories) - Local Cash	Cleaning Kit	Fixed Price	GHS	63	Local cash
Cleaning Kit (Frames & Accessories) - Local Credit	Cleaning Kit	Fixed Price	GHS	67	Local credit
Cleaning Kit (Frames & Accessories) - Foreign Cash	Cleaning Kit	Fixed Price	GHS	76	Foreign cash
Cleaning Kit (Frames & Accessories) - Foreign Credid	Cleaning Kit	Fixed Price	GHS	81	
Contact Lens Solution (Frames & Accessories) - Local Cash	Contact Lens Solution	Fixed Price	GHS	38	Local cash
Contact Lens Solution (Frames & Accessories) - Local Credit	Contact Lens Solution	Fixed Price	GHS	40	Local credit
Contact Lens Solution (Frames & Accessories) - Foreign Cash	Contact Lens Solution	Fixed Price	GHS	46	Foreign cash
Contact Lens Solution (Frames & Accessories) - Foreign Credit	Contact Lens Solution	Fixed Price	GHS	49	Foreign credit
Daily Contact Lens (Frames & Accessories) - Local Cash	Daily Contact Lens	Fixed Price	GHS	313	Local cash
Daily Contact Lens (Frames & Accessories) - Local Credit	Daily Contact Lens	Fixed Price	GHS	332	Local credit
Daily Contact Lens (Frames & Accessories) - Foreign Cash	Daily Contact Lens	Fixed Price	GHS	376	Foreign cash
Daily Contact Lens (Frames & Accessories) - Foreign Credit	Daily Contact Lens	Fixed Price	GHS	399	Foreign credit
Cord 3 (Frames & Accessories) - Local Cash	Cord 3	Fixed Price	GHS	38	Local cash
Cord 3 (Frames & Accessories) - Local Credit	Cord 3	Fixed Price	GHS	40	Local credit
Cord 3 (Frames & Accessories) - Foreign Cash	Cord 3	Fixed Price	GHS	46	Foreign cash
Cord 3 (Frames & Accessories) - Foreign Credit	Cord 3	Fixed Price	GHS	49	Foreign credit
Cord 2 (Frames & Accessories) - Local Cash	Cord 2	Fixed Price	GHS	31	Local cash
Cord 2 (Frames & Accessories) - Local Credit	Cord 2	Fixed Price	GHS	33	Local credit
Cord 2 (Frames & Accessories) - Foreign Cash	Cord 2	Fixed Price	GHS	37	Foreign cash
Cord 2 (Frames & Accessories) - Foreign Credit	Cord 2	Fixed Price	GHS	39	Foreign credit
Cord 1 (Frames & Accessories) - Local Cash	Cord 1	Fixed Price	GHS	25	Local cash
Cord 1 (Frames & Accessories) - Local Credit	Cord 1	Fixed Price	GHS	27	Local credit
Cord 1 (Frames & Accessories) - Foreign Cash	Cord 1	Fixed Price	GHS	30	Foreign cash
Cord 1 (Frames & Accessories) - Foreign Credit	Cord 1	Fixed Price	GHS	32	Foreign credit
Platinum Plus (Frames & Accessories) - Local Cash	Platinum Plus	Fixed Price	GHS	1188	Local cash
Platinum Plus (Frames & Accessories) - Local Credit	Platinum Plus	Fixed Price	GHS	1259	Local credit
Platinum Plus (Frames & Accessories) - Foreign Cash	Platinum Plus	Fixed Price	GHS	1426	Foreign cash
Platinum Plus (Frames & Accessories) - Foreign Credit	Platinum Plus	Fixed Price	GHS	1512	Foreign credit
Platinum (Frames & Accessories) - Local Cash	Platinum	Fixed Price	GHS	938	Local cash
Platinum (Frames & Accessories) - Local Credit	Platinum	Fixed Price	GHS	994	Local credit
Platinum (Frames & Accessories) - Foreign Cash	Platinum	Fixed Price	GHS	1126	Foreign cash
Platinum (Frames & Accessories) - Foreign Credit	Platinum	Fixed Price	GHS	1194	Foreign credit
Gold (Frames & Accessories) - Local Cash	Gold	Fixed Price	GHS	750	Local cash
Gold (Frames & Accessories) - Local Credit	Gold	Fixed Price	GHS	795	Local credit
Gold (Frames & Accessories) - Foreign Cash	Gold	Fixed Price	GHS	900	Foreign cash
Gold (Frames & Accessories) - Foreign Credit	Gold	Fixed Price	GHS	954	Foreign credit
Diamond (Frames & Accessories) - Local Cash	Diamond	Fixed Price	GHS	625	Local cash
Diamond (Frames & Accessories) - Local Credit	Diamond	Fixed Price	GHS	663	Local credit
Diamond (Frames & Accessories) - Foreign Cash	Diamond	Fixed Price	GHS	750	Foreign cash
Wood (Frames & Accessories) - Local Credit	Frame - Wood	Fixed Price	GHS	133	Local credit
Wood (Frames & Accessories) - Foreign Cash	Frame - Wood	Fixed Price	GHS	150	Foreign cash
Wood (Frames & Accessories) - Foreign Credit	Frame - Wood	Fixed Price	GHS	159	Foreign credit
Diamond (Frames & Accessories) - Foreign Credit	Diamond	Fixed Price	GHS	795	Foreign credit
Silver (Frames & Accessories) - Local Cash	Silver	Fixed Price	GHS	438	Local cash
Silver (Frames & Accessories) - Local Credit	Silver	Fixed Price	GHS	464	Local credit
Silver (Frames & Accessories) - Foreign Cash	Silver	Fixed Price	GHS	526	Foreign cash
Silver (Frames & Accessories) - Foreign Credit	Silver	Fixed Price	GHS	558	Foreign credit
Bronze (Frames & Accessories) - Local Cash	Bronze	Fixed Price	GHS	313	Local cash
Bronze (Frames & Accessories) - Local Credit	Bronze	Fixed Price	GHS	332	Local credit
Bronze (Frames & Accessories) - Foreign Cash	Bronze	Fixed Price	GHS	376	Foreign cash
Bronze (Frames & Accessories) - Foreign Credit	Bronze	Fixed Price	GHS	399	Foreign credit
Copper (Frames & Accessories) - Local Cash	Copper	Fixed Price	GHS	188	Local cash
Copper (Frames & Accessories) - Local Credit	Copper	Fixed Price	GHS	199	Local credit
Copper (Frames & Accessories) - Foreign Cash	Copper	Fixed Price	GHS	226	Foreign cash
Copper (Frames & Accessories) - Foreign Credit	Copper	Fixed Price	GHS	240	Foreign credit
TRIFOCAL WHITE (+2.50 * +2.75 ADD +2.75) - Local Cash	TRIFOCAL WHITE (+2.50 * +2.75 ADD +2.75)	Fixed Price	GHS	1813	Local cash
TRIFOCAL WHITE (+2.50 * +2.75 ADD +2.75) - Local Credit	TRIFOCAL WHITE (+2.50 * +2.75 ADD +2.75)	Fixed Price	GHS	1922	Local credit
TRIFOCAL WHITE (+2.50 * +2.75 ADD +2.75) - Foreign Cash	TRIFOCAL WHITE (+2.50 * +2.75 ADD +2.75)	Fixed Price	GHS	2176	Foreign cash
TRIFOCAL WHITE (+2.50 * +2.75 ADD +2.75) - Foreign Credit	TRIFOCAL WHITE (+2.50 * +2.75 ADD +2.75)	Fixed Price	GHS	2307	Foreign credit
SV WHITE BLUE X 1.6 - Local Cash	SV WHITE BLUE X 1.6	Fixed Price	GHS	3500	Local cash
SV WHITE BLUE X 1.6 - Local Credit	SV WHITE BLUE X 1.6	Fixed Price	GHS	3710	Local credit
SV WHITE BLUE X 1.6 - Foreign Cash	SV WHITE BLUE X 1.6	Fixed Price	GHS	4200	Foreign cash
SV WHITE BLUE X 1.6 - Foreign Credit	SV WHITE BLUE X 1.6	Fixed Price	GHS	4452	Foreign credit
SV WHITE BLUE X (SPH-4.50 - +/-6.0) - Local Cash	SV WHITE BLUE X (SPH-4.50 - +/-6.0)	Fixed Price	GHS	2125	Local cash
SV WHITE BLUE X (SPH-4.50 - +/-6.0) - Local Credit	SV WHITE BLUE X (SPH-4.50 - +/-6.0)	Fixed Price	GHS	2253	Local credit
SV WHITE BLUE X (SPH-4.50 - +/-6.0) - Foreign Cash	SV WHITE BLUE X (SPH-4.50 - +/-6.0)	Fixed Price	GHS	2550	Foreign cash
SV WHITE BLUE X (SPH-4.50 - +/-6.0) - Foreign Credit	SV WHITE BLUE X (SPH-4.50 - +/-6.0)	Fixed Price	GHS	2703	Foreign credit
SV WHITE BLUE X (SPH-4.50 - +/-5.75) - Local Cash	SV WHITE BLUE X (SPH-4.50 - +/-5.75)	Fixed Price	GHS	1813	Local cash
SV WHITE BLUE X (SPH-4.50 - +/-5.75) - Local Credit	SV WHITE BLUE X (SPH-4.50 - +/-5.75)	Fixed Price	GHS	1922	Local credit
SV WHITE BLUE X (SPH-4.50 - +/-5.75) - Foreign Cash	SV WHITE BLUE X (SPH-4.50 - +/-5.75)	Fixed Price	GHS	2176	Foreign cash
SV WHITE BLUE X (SPH-4.50 - +/-5.75) - Foreign Credit	SV WHITE BLUE X (SPH-4.50 - +/-5.75)	Fixed Price	GHS	2307	Foreign credit
SV WHITE BLUE X (SPH PLANO -/+4.75) - Local Cash	SV WHITE BLUE X (SPH PLANO -/+4.75)	Fixed Price	GHS	1000	Local cash
SV WHITE BLUE X (SPH PLANO -/+4.75) - Local Credit	SV WHITE BLUE X (SPH PLANO -/+4.75)	Fixed Price	GHS	1060	Local credit
SV WHITE BLUE X (SPH PLANO -/+4.75) - Foreign Cash	SV WHITE BLUE X (SPH PLANO -/+4.75)	Fixed Price	GHS	1200	Foreign cash
SV WHITE BLUE X (SPH PLANO -/+4.75) - Foreign Credit	SV WHITE BLUE X (SPH PLANO -/+4.75)	Fixed Price	GHS	1272	Foreign credit
SV WHITE BLUE X - Local Cash	SV WHITE BLUE X	Fixed Price	GHS	1000	Local cash
SV WHITE BLUE X - Local Credit	SV WHITE BLUE X	Fixed Price	GHS	1060	Local credit
SV WHITE BLUE X - Foreign Cash	SV WHITE BLUE X	Fixed Price	GHS	1200	Foreign cash
SV WHITE BLUE X - Foreign Credit	SV WHITE BLUE X	Fixed Price	GHS	1272	Foreign credit
SV WHITE AR (SPH+/7.25- +/-8.75) hi index 1.74 - Local Cash	SV WHITE AR (SPH+/7.25- +/-8.75) hi index 1.74	Fixed Price	GHS	4125	Local cash
SV WHITE AR (SPH+/7.25- +/-8.75) hi index 1.74 - Local Credit	SV WHITE AR (SPH+/7.25- +/-8.75) hi index 1.74	Fixed Price	GHS	4373	Local credit
SV WHITE AR (SPH+/7.25- +/-8.75) hi index 1.74 - Foreign Cash	SV WHITE AR (SPH+/7.25- +/-8.75) hi index 1.74	Fixed Price	GHS	4950	Foreign cash
SV WHITE AR (SPH+/7.25- +/-8.75) hi index 1.74 - Foreign Credit	SV WHITE AR (SPH+/7.25- +/-8.75) hi index 1.74	Fixed Price	GHS	5247	Foreign credit
SV WHITE AR (SPH+/7.25- +/-8.75) hi index 1.67 - Local Cash	SV WHITE AR (SPH+/7.25- +/-8.75) hi index 1.67	Fixed Price	GHS	3688	Local cash
SV WHITE AR (SPH+/7.25- +/-8.75) hi index 1.67 - Local Credit	SV WHITE AR (SPH+/7.25- +/-8.75) hi index 1.67	Fixed Price	GHS	3909	Local credit
SV WHITE AR (SPH+/7.25- +/-8.75) hi index 1.67 - Foreign Cash	SV WHITE AR (SPH+/7.25- +/-8.75) hi index 1.67	Fixed Price	GHS	4426	Foreign cash
SV WHITE AR (SPH+/7.25- +/-8.75) hi index 1.67 - Foreign Credit	SV WHITE AR (SPH+/7.25- +/-8.75) hi index 1.67	Fixed Price	GHS	4692	Foreign credit
SV WHITE AR (SPH+/7.25- +/-8.75) hi index 1.6 - Local Cash	SV WHITE AR (SPH+/7.25- +/-8.75) hi index 1.6	Fixed Price	GHS	3450	Local cash
SV WHITE AR (SPH+/7.25- +/-8.75) hi index 1.6 - Local Credit	SV WHITE AR (SPH+/7.25- +/-8.75) hi index 1.6	Fixed Price	GHS	3657	Local credit
SV WHITE AR (SPH+/7.25- +/-8.75) hi index 1.6 - Foreign Cash	SV WHITE AR (SPH+/7.25- +/-8.75) hi index 1.6	Fixed Price	GHS	4140	Foreign cash
SV WHITE AR (SPH+/7.25- +/-8.75) hi index 1.6 - Foreign Credit	SV WHITE AR (SPH+/7.25- +/-8.75) hi index 1.6	Fixed Price	GHS	4388	Foreign credit
SV WHITE AR (SPH+/6.00- +/-7.00) hi index 1.74 - Local Cash	SV WHITE AR (SPH+/6.00- +/-7.00) hi index 1.74	Fixed Price	GHS	2913	Local cash
SV WHITE AR (SPH+/6.00- +/-7.00) hi index 1.74 - Local Credit	SV WHITE AR (SPH+/6.00- +/-7.00) hi index 1.74	Fixed Price	GHS	3088	Local credit
